Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Edificio Hermoso,"La Catedral Metropolitana, es uno de los edificios más hermosos que he visitado en el mundo su órgano monumental, y sus capillas hacen de este lugar una maravilla del tiempo  virtual, a un costado la escultura de Juan Pablo II, hecha por el pueblo mexicano. Recomendable 100% recomendable paravisitar",,5,,16 de diciembre de 2018,nov de 2018
Bello lugar,Pregunten por la historia del Cristo. Es un interesante lugar que guarda historia y obras increíbles. Vean antes de entrar em la parte de enfrente que debajo del piso de vidrio hay otra historia. Noten en hundimiento en el área es muy interesante.,,5,"Tegucigalpa, Honduras",14 de diciembre de 2018,dic de 2018
hermosa,se encuentra ubicada en el centro de la ciudad de verdad que no se pueden perder vistar esta hermosa iglesia,,5,México,12 de diciembre de 2018,abr de 2018
México Maravilloso ,"Pasear por fuera de la catedral es algo mágico, México tiene espacios espectaculares testigos de nuestra historia en cada rincón.",,5,"Tlalnepantla, México",11 de diciembre de 2018,dic de 2018
IMPRESIONANTE ,"Esta Catedral es una obra maestra de la construcción religiosa española en MexicoEstá construido anexo a las ruinas del templo mayor ( y supongo que en parte sobre ellas)Su interior es realmente impresionante, recargada, como a su estilo corresponde y en cada una de sus recovecos merece la pena dedicarle un tiempo Impresiona también el asentamiento que tiene y que se puede observar claramente con el pendulo que tiene en su interior y muestra la posición a lo largo de los añosSin duda es un lugar a recorrer si se va a MexicoDf ",,4,"Oviedo, España",11 de diciembre de 2018,dic de 2018
Impresionante ,"Me pareció un lugar maravilloso , lleno de mucha historia y misticismo. Tienen una infraestructura fenomenal que a cualquiera deja maravillado . ",,5,"Tepic, México",9 de diciembre de 2018,dic de 2018
Artre religioso,"En cualquier angulo tu foto estara perfecta,Adentro es una armonia d arte y acabados es gratis la entrada, ",,5,,6 de diciembre de 2018,dic de 2018
Majestuosa,"Todo en la Catedral de México es impresionante, por su antigüedad y por sus dimensiones. Me llamó particularmente la atención el órgano, ubicado sobre la nave izquierda del templo. Y la cantidad de obras de arte que hay en su interior.",,5,"Quilmes, Argentina",1 de diciembre de 2018,ago de 2018
Una Pena .. !!,"El descuido .. lo sucio .. lo inseguro .. ls falta terrible de mantenimiento, hacen que sea nada recomendable la visita .. si acaso un par de fotos por el exterior y nada más.Por suerte en México tenemos en Oaxaca .. Puebla .. Guanajuato .. Durango y muchos otros lugares más, mucho mejores Templos que la ¨gran¨Catedral .. una pena lo lamentable que la tienen.",,3,"Ciudad de México, México",27 de noviembre de 2018,nov de 2018
Podría estar mejor,"Esperaba más de la catedral. Está muy triste por dentro, muy obscura y hasta cierto punto te permiten pasar.No se si le falte mantenimiento, pero se respira un ambiente de tristeza y vacío.Lo único que llama la atención es el órgano de gran dimensión.Creo q sólo por fuera y de lejos se ve bien.",,2,"Querétaro, México",21 de noviembre de 2018,nov de 2018
Arquitectura,"Me gusto muchísimo su arquitectura,  fue como trasladarme a otro tiempo. Se mantiene conservada y con perimetrales que aseguran mantener esa joya lo mejor posible.Digno de admirar en conjunto con las demás edificaciones circundantes. De paso disfrutar de un pedacito de cultura en sus alrededores sobre las costumbres aztecas. Recomendado.",,5,"San José, Costa Rica",19 de noviembre de 2018,sept de 2018
visita,esta arquitectura colonial es fantastica y hermosa es algo bello me fascino su exterior y su interior de una manera ecepcional volvere ,,5,,9 de noviembre de 2018,nov de 2018
Catedral Metropolitana de la Ciudad de México,Este monumento Religioso se encuentra en el Centro histórico en la ciudad de México en la Plaza de la Constitución.Puedes llegar en el Metro estación zocalo y pasar un día muy interesante.La arquitectura es impresionante.Al lado de la Catedral se encuentra Palacio Nacional.la mejor vista la puedes tener en el Gran Hotel de la ciudad de México en la azotea hay un restaurante con precios altos pero tiene la mejor vista del lugar,,5,"Cancún, México",7 de noviembre de 2018,nov de 2018
la arquitectura,los retablos sobre todo el altar del perdon y las capillas laterales tiene un organo monumental que tuvo una restauracion excelente,,5,"Ciudad de México, México",6 de noviembre de 2018,may de 2018
Imponente,"Un lugar para ser visitado por su arquitectura, relevancia religiosa, su órgano y por lo que cada pequeña capilla representa.",,5,"Monterrey, Mexico",6 de noviembre de 2018,oct de 2018
Lugar de oración,"Un lugar acogedor para rezar, con varios altares y capillas. Un lugar de recogimiento para católicos. Es un lugar de oración.",,5,"San José, Costa Rica",3 de noviembre de 2018,nov de 2018
Simplemente Hermoso!,"Lugar historico, muy bonito, asombroso por dentro y fuera.  Un lugar que definitivamente hay que visitar, ir con tiempo y caminar sus alrededores y museos que le circundan.",,4,República Dominicana,31 de octubre de 2018,oct de 2018
Ofrenda 2018,"Visita la ofrenda de día de muertos 2018, el tema de este año es sobre los migrantes. Representan un judío, un centroamericano, un asiático, un español y una mujer mexicana... De los cuales tenemos muuuchos en México y muchos de ellos han influido en nuestras costumbres. No te la pierdas!!! ",,5,"Ciudad de México, México",28 de octubre de 2018,oct de 2018
"En honor al Señor del Veneno, coronando el Zócalo","Como parte del Zócalo de la CDMX, la Catedral Metropolitanaocupa un lugar de preponderancia en la Plaza de la Constitución, formando un Todo con la plaza, la Casa de Gobierno y el Templo Mayor.",,4,"Rosario, Argentina",26 de octubre de 2018,sept de 2018
Gratis,"Una muy buena atracción gratis en el centro histórico de CDMX.Una de las mas grandes del mundo con su estilo colonial, vale la pena recorrerla.",,5,"Buenos Aires, Argentina",23 de octubre de 2018,oct de 2018
Turismo,"Increible templo y la historia dentro y fuera, consejo no temes taxi en esta zona, segun los locales pueden cobrarte muy caro. usa el metro.",,5,"Bogotá, Cundinamarca, Colombia",19 de octubre de 2018,oct de 2018
"Bonita de ver, lástima de su conservacion exterior",No es de las más espectaculares por dentro pero si que se aprecia los distintos estilos añadidos durante su dilatada construcción y el sincretismo observado en ella. Lástima que los exteriores tras el último terremoto y las inclemencias meteorológicas dejen la fachada un tanto deteriorada.,,4,"Málaga, España",8 de octubre de 2018,sept de 2018
Unica!! El lugar más lindo que visite de Mexico DF,Es realmente imponente!! una catedral hermosa.Lo más lindo que vi de todo Mexico DF.Recorrerla y tomarse unos minutos es sumamente necesario para entender todo lo que pasa y apreciar todo lo que pasa alli dentro. Imperdible.-,,5,"Buenos Aires, Argentina",5 de octubre de 2018,sept de 2018
Obra teatral.,Asistí a una obra de teatro dentro de la catedral en donde se cuenta la historia de la catedral y se muestran sus tesoros. La puesta en escena es de primera.,,5,"Arequipa, Perú",3 de octubre de 2018,ago de 2018
Péndulo,"La catedral es muy linda. Internamente, hay que conocer cada altar lateral con cuidado y atención porque hay detalles de muy buen gusto.Hay q sacar fotos junto al péndulo para ver lo cuanto se está hundiendo la catedral",,5,"Marituba, PA",2 de octubre de 2018,nov de 2017
impresiona ,"La catedral impresiona, su construcción, las esculturas, la madera trabajada, las pinturas, el órgano...Muy linda...",,5,,27 de septiembre de 2018,sept de 2018
Una joya arquitectónica.,Vinieron amigos y como siempre una visita al Centro Histórico de la Ciudad de México. Fue lindo volver a entrar a la catedral que siempre sorprende por su belleza y contenido.Me gustó volver y ver como los trabajos realizados en ella han dado resultado.,,5,"Mexico City, Distrito Federal, Mexico",27 de septiembre de 2018,jul de 2018
Típica postal de CDMX,Un lugar increíble en un entorno impresionante.Es para recorrerla y aprovechar todo lo que ofrece el Zócalo de CDMX. Sugiero hacer un Free Tour,,5,"Buenos Aires, Argentina",26 de septiembre de 2018,sept de 2018
"Visita obligada, Monumento historico",La catedral esta en constante  mantenimiento pero puede uno entrar y visitarla en cualquier momento.  Se siguen celebrando misas regularmente y solo hay restricciones para turistas y fotos durante la celebracion.  Es un tesoro historico,,5,"Saltillo, México",23 de septiembre de 2018,ago de 2018
Excelente (culturalmente),"Para tener una idea de la historia de México la catedral es excelente ya que combina 2 culturas en el mismo sitio, ademas de que se encuentra en el centro histórico y hay mucho que ver alrededor.",,5,"Cancún, México",23 de septiembre de 2018,mar de 2018
Impresionante,"Tomamos un tour en bicicletas eléctricas Pedego y nos llevaron en este tour a ver los diferentes monumentos históricos de la CDMX y acabamos El recorrido en La Catedral.El tour fue fantástico pues nuestra guía nos explicó todo con mucho conocimiento.La Catedral está  a un costado de La Plaza de la Constitución y su construcción tardó aproximadamente 250 años.Esta Catedral tiene dos altares ,la sacristía y el coro.En el coro se encuentran dos de los órganos más grandes del continente y son preciososVale muchísimo entrar y ver este recinto por adentro.",,5,"Ciudad de México, México",18 de septiembre de 2018,sept de 2018
Majestuosa e imponente.,"Desde que vas llegando a la zona, la Catedral es lo primero que te da la bienvenida y llama tu atencion. Igual que muchas edificaciones historicas de la Ciudad de Mexico, con una arquitectura unica e imponente, dificil de confundir. Es una de los cientos de atracciones a visitar si estas en CDMX.",,5,,15 de septiembre de 2018,sept de 2018
Lunes al medio día ,"Visite la Basilica el lunes a mediodía y habia misa y luego exposicion de santísimo. Al final el reverendo da la bendición con agua bendita a todos los que hacen la fila.   Hay tres capillas, todas con hermosa ornamentación y si tomas el walking city tour el guia te explicara con mas detalles las composicion de los altares y ornamentos.Segun nos dijeron la Basilica fue construida sobre el antiguo Templo Mayor encontrado por los españoles a su llegada a la cuidad de los aztecas y hay algunas excavaciones a sus laterales del lugar antiguo. ",,5,"David, Panamá",13 de septiembre de 2018,sept de 2018
Imponente,"Desde el zócalo se puede ver desde todos los ángulos sus torres y acceso. Es imponente, con varios estilos arquitectónicos donde predominan el barroco, gótico, neoclásico. Por dentro también lo es  el altar junto a sus terminaciones en la techumbre.",,5,"Concepción, Chile",6 de septiembre de 2018,may de 2018
Conocerla es parte de todos los mexicanos y turistas,"Cuenta la historia que después de llegar Hernán Cortés para el año 1524, mandó construir una Iglesia en el lugar donde se encontraba el Templo Mayor. De estilo neoclásico, barroco.Verdaderamente es una atracción mundialmente famosa e imperdible.",,5,"Ciudad de México, México",4 de septiembre de 2018,jun de 2018
Mi lugar favorito de la Cdmx,"Es un edificio que guarda 240 años de historia y arte, sin duda mi lugar favorito, me encanta darlo a conocer, les recomiendo contratar un guia certificado para que les explique, es un deleite para los amantes del arte sacro. Invaluable!!",,5,"Ciudad de México, México",3 de septiembre de 2018,sept de 2018
Preciosa ,"Muy linda, con misas en distintos horarios, se puede ver como se está hundiendo la catedral. Se pueden comprar regalos adentro de la catedral. ",,5,"Santiago, Chile",2 de septiembre de 2018,sept de 2018
Visita obligada en la CDMX,"Para creyentes o no, es un lugar que hay que visitar. Se puede visitar o para conocer más de su historia se ofrecen visitas guiadas. Mientras hay misa no se puede pasar hasta el fondo para poder admirar retablos y el altar. ",,4,"Ciudad de México, México",1 de septiembre de 2018,ago de 2018
Imponente 💖,"Hermosa la catedral 💖Muy seguro caminar y entrar a la catedral, para nuestra suerte había una feria al frente de la catedral y disfrutamos mucho haciendo compras de artesanías y comida local.México es hermoso todo se disfruta al 100 %",,5,"San José, Costa Rica",1 de septiembre de 2018,sept de 2018
"Bonita afuera, no me gusto adentro ","Desde afuera es muy bonita la catedral, adentro no me gusto, no siendo eso mi estilo favorito. La definiría una normal inglesa vista desde adentro. ",,4,"Alba, Italia",31 de agosto de 2018,ago de 2018
Grande para la masa espanola,"Si eres como yo, aprendiendo español como segunda lengua, la misa católica es una gran manera de empezar! Este es un lugar encantador.",,5,"San Antonio, Texas",29 de agosto de 2018,ago de 2018
FAMILIA ,"PRECIOSA!! Una hermosa iglesia, muy cuidada por todos. Hermosa de donde se le mire, cada ángulo es bello en esta iglesia.",,5,"Ciudad de México, México",28 de agosto de 2018,jul de 2018
Linda Catedral ,"La Catedral arquitectonicamente es linda por dentro y por fuera. Aún funcionan los dos órganos durante las misas, existen algunas capillas a los lados adentro de la Catedral para orar a diferentes santos y la Virgen de Guadalupe, también existe un sitio de compras de artículos religiosos adentro. ",,5,,27 de agosto de 2018,ago de 2018
Edificación construida por décadas,"Es magnífica, sus altares y diversas capillas. recomiendo se contarte un guía pata bajar a los nichos bajo la catedral. Su construcción se entrelaza con diversas etapas históricas de México desde la Nueva España (la conquista) hasta al independencia de México. El órgano en monumental. recomiendo asistir a los conciertos y obra de teatro que se lleva a cabo dentro de la catedral.",,5,,27 de agosto de 2018,jun de 2018
lugar cultural religiosos,La catedral metropolitana se cosntrullo por casi 300 años y por lo mismo tiene diferentes tipos de retablos y arquitecturas difernetes lo mas bonito es el remate en forma de campana de sus  torres donde stan las campanas en  altar principal esta muy boninto aunque le falta mantenimiento ,,4,"Ciudad de México, México",27 de agosto de 2018,oct de 2017
Hermoso lugar.,"Esta ubicada en la plaza central de la ciudad de México, en el Zócalo, frente a importantes edificios gubernamentales de la ciudad e importantes vías de acceso. Seas o no un creyente no debes dejar de pasar por allí, entrar y conocer su espectacular interior. Incluso puedes encontrar souvenirs adentro y si llevas monedas contigo llevar un lindo recuerdo de sus maquinas grabadoras de monedas con una imagen de cristo, de la iglesia o de la virgen de Guadalupe.",,4,"Cali, Colombia",27 de agosto de 2018,ago de 2018
Bellísima ,"Bellísima por dentro y por fuera, yo no sabía que el órgano qué hay dentro fue regalo del gobierno alemán y pesa ufff, gracias a él y al subsuelo se está hundiendo. La construyeron con las piedras del los templos q los españoles vinieron a tumbar en mil quinientos y tantos cuando empezaron a evangelizar estas tierras. ",,5,"Ciudad de México, México",27 de agosto de 2018,jun de 2018
Históricamente hermoso,"El lugar es la unión de la cultura católica que se reúne en México, los diferentes estaciones son demasiados cuidado y hermosos.",,5,"Medellín, Colombia",26 de agosto de 2018,ago de 2018
Histórico ,Hay que visitar las catacumbas para descubrir unos cráneos aztecas que conformaban un altar. La habitación principal tiene 2 guardianes y un féretro impresionante. ,,5,"Naucalpan de Juárez, México",26 de agosto de 2018,ago de 2018
UN TEMPLO IMPUESTO.,"Para mi es un lugar que no tiene nada que dar por afuera es de dar pena ya que el frente aparenta un poco de limpieza y por la parte de atrás es un basurero, y si entrar es un espacio demasiado obscuro con paredes llenas de manchas de humo lo dijo para mi es tétrico el lugar.",,3,"Madrid, España",24 de agosto de 2018,sept de 2017
Obligado para los viajeros por México,"La Catedral Metropolitana es un lugar emblemático no solo de la Ciudad de México, sino de todo el País.",,5,,20 de agosto de 2018,jun de 2018
Visita guiada nocturna interesante... ,"Fue una buena opción para conocer más de la historia y sobre todo de lo que comprende la iglesia, sus obras de arte y modificaciones que ha tenido a través de los años",,4,"Ambato, Ecuador",19 de agosto de 2018,ago de 2018
Visita Imperdible,La Catedral es uno de los sitios imperdibles al visitar la Ciudad de México seas católico o no. Ya que la belleza de la arquitectura colonial te deja boquiabierto.Y el Órgano Monumental que si tienes la suerte de escucharlo te manda a otro mundo.También es un lugar para descansar del calor y de las largas caminatas que tendrás que hacer para visitar todo lo que hay en el Centro de la Ciudad.,,5,"Ciudad de México, México",15 de agosto de 2018,jun de 2018
Arquitectura y fe,"Es uno de los monumentos más importantes del centro de la Ciudad de México, no sólo por el valor religioso que imprime, sino por la arquitectura y construcción. Seas creyente o no, vale mucho la pena entrar y contemplar la belleza de este increíble recinto.",,5,"Coacalco, México",14 de agosto de 2018,mar de 2018
emocionante,"por la visión histórica y religiosa, excelente órgano. como todas las catedrales lo edilicio es impactante",,5,"Buenos Aires, Argentina",13 de agosto de 2018,oct de 2017
Visita obligada,"En el corazón del centro histórico compartiendo importancia lo Palacio Nacional y a un lado del Templo Mayor se encuentra esta majestuosa catedral imponente por fuera pero aún más por dentro. Cuanta con 7 capilla de cada lado, está dividida en dos, en el centro el coro, con dos órganos espectaculares, por $10 pesos puedes ingresar a esta área y te dan una breve explicación del recinto. Si hay misa no podrás ingresar a la primera parte",,5,"Ciudad de México, México",13 de agosto de 2018,ago de 2018
Hermoso ,Simplemente majestuoso. EstoDebe ser un paso obligado si van a Ciudad de Mexico. El arte e historia que se puede apreciar en este lugar es maravilloso. Excelente!! ,,5,"Barranquilla, Colombia",12 de agosto de 2018,ago de 2018
catedral,El zócalo es un lugar que no puede faltar en tu recorrido. además entrar a la catedral es magnifico e impresionante. ,,5,,11 de agosto de 2018,ago de 2018
No tienes que ser creyente para disfrutarla.,"Un excelente lugar, adicional a las cuestiones de la Fe, puedes disfrutar de la arquitectura, pide visitar las salas paralelas, el campanario y las criptas.",,5,,7 de agosto de 2018,abr de 2018
Un edificio inconfundible en el zócalo de la ciudad,"Lo primero que notas cuando lo vez y lo que mas te impresiona es como esta undido el edificio, eso te pone a pensar sobre como fue construido, por dentro esta muy bien decorado, lo unico malo es que afuera hay muchos vendedores.",,4,"Ciudad de México, México",7 de agosto de 2018,ene de 2018
Frente al Zócalo.,"Una de las tantas Catedrales e iglesias que hay en la ciudad de México, muy amplia y siempre con una concurrencia muy grande de fieles.",,4,"Treinta Y Tres, Uruguay",4 de agosto de 2018,jul de 2018
Lugar para reflexionar,"Es un lugar maravilloso ,se llega y enseguida sientes La Paz y  usando vas a misa o la escuchas es algo sublime muy recomendado lugar para todos aquellos que deseen visitar un lugar tan lleno de paz y con un órgano increíble hay visitas guiadas os recomiendo gracias ",,5,"Ciudad de México, México",2 de agosto de 2018,jul de 2018
Bonita,"Es una bonita cátedral de grandes espacios e historia. Se cierra parte solo para misas. No llego a quedarme claro cuando abre, un tanto errático. Me gusta más por fuera que por dentro. ",,4,,2 de agosto de 2018,jun de 2018
"Centro de Fe, Historia y Tradición","Si visitas en Zocalo es un deber ir a la Catedral, edifico de varias centurias, bien mantenido, lugar de reflexión y admiración, como católico meditas y como visitante admiras",,5,,2 de agosto de 2018,dic de 2017
Bonita,"No soy catolica, pero como monumento es una gran construcción. Sus interiores están muy bien cuidados y su decoración es muy bella. Es un básico en el corazón de la ciudad. ",,4,"Ciudad de México, México",31 de julio de 2018,jun de 2018
"Magna construccion iniciada en 1573 y terminada en su interior en 1667, en el exterior en 1813.",Magna y preciosa catedral metropolitana de la CdMx que tardo en su construccion  250 anos y en la cual participo mi tatarabuelo el Arq. Manuel Tolsa.,,5,"Rosarito, México",30 de julio de 2018,jul de 2018
Hermoso,"La catedral es verdaderamente hermosa . Nosotros entramos al pequeño recorrido a las catacumbas    Al sótano y vimos las tumbas de los cardenales , 100% recomendable . Imperdible en su visita a CDMX",,5,"Zacatecas, México",29 de julio de 2018,jul de 2018
MAJESTUOSA CATEDRAL,"es lamentable las condiciones en que tienen esta joya de la iglesia catolica, simbolo de la grandeza y esplendor. se ve sucia por fuera y dentro. es una lastima.",,3,"Oaxaca, México",27 de julio de 2018,jul de 2018
Majestuosa.,"{Hay deterioros por el sismo, se encuentra un pendulo al  centro del pasillo el cual indica el cambio en el subsuelo, por la acumulacion de líquidos, lo cual provoco desde los años 1534 el deslizamiento de los cimientos , en 1997 realizaron obras de alcantarillado y drenaje y empezo a mejorar .",,5,,26 de julio de 2018,jul de 2018
Catedral de la ciudad de México,"Edificio que combina las diferentes arquitecturas, a lo largo de la historia de México, es visita obligada, puedes subir a visitar los campanarios donde te explican todas y cada una de las campanas, su historia, los diferentes estilos arquitectónicos, además de su importancia religiosa.",,5,"Ciudad de México, México",25 de julio de 2018,jul de 2018
Construcción Majestuosa,"Siempre dispuesta a que se conozca, y admirar la majestuosa construcción con esas bóvedas gigantes y con tanta historia que impresiona, vale la pena conocerla.",,4,"Tuxtla Gutiérrez, México",24 de julio de 2018,jul de 2018
Increible,Es la iglesia mas impresionante de todas. Tiene 14 altares y los organos mas grandes de mexico. Es de las mas grandes de latinoamerica.,,5,,23 de julio de 2018,jul de 2018
Imponente,Gran edificación de iglesia católica en Latinoamérica. Acúmulo de arte e historia. Visita guiada recomendable. Iluminación de interior mejorable.,,4,México,23 de julio de 2018,jul de 2018
Majestuoso,"Increíble es el vivir ahí cada acto grande para algún festejo de los Mexicanos. Enorme placer el estar ahí y admirar todo lo majestuoso que hay alrededor , cuanta historia, cuanta vida , cuanta creación , cuanto amor y es el centro de armonía de nuestro querido México.",,5,"Ciudad de México, México",15 de julio de 2018,jun de 2018
Visitar la principal Iglesia del Centro de la Ciudad de México y la más emblematica,"Es el lugar principal que visitar cuando va uno al Centro de la Ciudad, ya que esta en frente del Zócalo, junto a Palacio Nacional y al del Gobierno de la Ciudad de México, la características de esta Iglesia es que fue erigida en sima de lo que fue el Templo Mayor de la ciudad de México en la época de los Aztecas, y que lo que se encuentra en ella es mucha historia de México, ya que están enterrados, muchos personajes importantes de México en ella, se han estado haciendo muchas remodelaciones a la misma, por tantos años que tiene y junto a ella esta también el Sagrario que es una belleza de por si solo, es un lugar para visitar en la Ciudad de México.",,5,"Cuauhtémoc, México",15 de julio de 2018,may de 2018
Espectacular,"En un lateral de la plaza de armas (Zócalo). Es la catedral de Mexico, siguiendo el estilo de las catedrales españolas de la época, se crea a lo largo de los siglos este bello edificio que simboliza el poder de la fe católica. Se encuentra edificada sobre terrenos inestables lo que ha ido haciendo que su nave central se incline longitudinalmente, obligando a efectuar unas obras de recomendación para tratar de que no fuese a más, es por ello que cuenta con unos sensores y un sistema pendular en su crucero central, que no impiden que siga habiendo culto, acostumbrados los mexicanos a este tipo de desastres",,5,"Madrid, España",14 de julio de 2018,jul de 2018
emblemática y hermosa,un lugar emblemático en todo el zócalo de Ciudad de México. Rodeado de grandes edificaciones y diversos lugares culturales,,5,,14 de julio de 2018,ago de 2017
Imponente,Dentro de el contexto de la cuidad de México y su Zócalo está su imponente catedral .Su interior es una degustación absoluta de arte y fervor religioso preciosos retablos y capillas en general imponente y majestuosa de las mejores de el continente,,5,"San Pablo, Costa Rica",13 de julio de 2018,jul de 2018
Una Catedral impresionante por su tamaño y majestuosidad,"En un recorrido se nos explicó el arduo trabajo que se llevó a cabo para la recimentacion  de la misma, ya que se estaba hundiendo debido al asentamiento del subsuelo en la Ciudad de México, es un trabajo digno de admiración de la Ingeniería Mexicana",,4,"Ciudad de México, México",9 de julio de 2018,ago de 2017
El corazón de la religión de la nueva España,"Solamente el edificio es en sí una obra de arte, y además fué construido sobre los restos de pirámides aztecas, que se pueden ver a través de algunas excavaciones arqueológicas... fuera de ello nada extraordinario",,2,"Ciudad de México, México",9 de julio de 2018,feb de 2018
Visita obligada a dar culto a las creencias,"Monumental catedral representativa, de la presencia de la conquista en mexico, lo malo, bajo esta catedral,sepulto restos de la civilizacion,azteca,una parte de esta se construyo con las piedras de las construccioness de los aztecas",,4,,8 de julio de 2018,jul de 2018
Espiritualmente hablando una experiencia inolvidable ,Espiritualmente hablando una experiencia inolvidable Es una visita obligada.   Sin palabras para describir esta maravillosa experiencia.,,5,"Curridabat, Costa Rica",7 de julio de 2018,jul de 2018
Linda,"No hay que perdersela, hay que ir, ver, tomar unas fotos. Es un placer visitar esas iglesias antiguas que hay por todo México. ",,3,"San Fernando, Buenos Aires, Argentina",3 de julio de 2018,jun de 2018
"La Catedral mas grande de Latinoamérica, Patrimonio de la Humanidad.","Se construyo en 3 siglos. Se puede ver en su arquitectura estilos del renacimiento, Barroco y Neoclásico. Se encuentra en el corazón del Centro Histórico de Mexico .Abajo de la Catedral puedes visitar restos de lo que fue La Ciudad Azteca y un museo muy bien logrado que se llama, Zona Arqueológica del Templo Mayor...Enfrente hay una gran explanada conocida como el Zocalo donde la gente se reúne para celebrar, protestar o divertirse. Del otro lado de el Zocalo esta el Placido Nacional , donde esta la oficina del Presidente de la Republica, esta abierto al publico ciertas areas donde se encuentran murales de Diego Rivera.Mucho que ver caminando por el Centro Histórico. Hay restaurantes para todo tipo de bolsillos. Desde cantinas típicas o restaurantes bonitos como La Casa de las Sirenas.Se recomienda no llevar nada de valor. (aretes, relojes o joyas)",,5,"Ciudad de México, México",2 de julio de 2018,sept de 2017
Visita Sudario,"Es un gusto siempre visitar la Catedral! Centro de la fe de la CDMX y sede de la Arquidiócesis de México, una de las más grandes del mundo: 9 millones de feligreses!!!   VISITA OBLIGADA para el católico mexicano.",,5,"Ciudad de México, México",1 de julio de 2018,may de 2018
La otra conquista,"Este edificio construido para la religión católica, es uno de los símbolos religiosas más grandes y emblemáticos de México, con una gran historia y con los acabados barrocos en su interior y con los recubrimientos en chapa de oro.Se recomienda visitar es inmueble, ya que las visitas guiadas te llevan por los sótanos que hay en este edificio, donde también existen algunas criptas de los sacerdotes que han estado como responsables de este lugar.No olvidemos que esta edificación esta desplantada o construida sobre un basamento de un templo religioso de nuestra gran Tenochtitlan, donde se le rendía honor a los dioses. y al referirme a la otra conquista, es la conquista religiosa, donde se da el cambio del culto a los dioses hacia el catolicismo.",,5,"Ciudad de México, Mexico",27 de junio de 2018,oct de 2017
Catedral Metropolitana,"Junto a Palacio Nacional y en pleno Zócalo de la CDMX, nuestra catedral data de 1573 y tiene varios estilos de construccion, gotico, barroco y churrigueresco, muy cerca de otras atracciones como el Gran Hotel de la CDMX, el Templo Mayor y otras mas",,4,"Pachuca, Mexico",18 de junio de 2018,nov de 2017
Catedral Metropolitana CDMX,"Visita obligada si vienes a México, La Catedral Metropolitana de la Asunción de la Santísima Virgen María a los cielos de la Ciudad de México, su construcción tardó aproximadamente 250 años y se ubica frente a la Plaza de la Constitución en el Centro Histórico, Luego de la conquista española del imperio azteca, los conquistadores decidieron construir una iglesia en el lugar en el que se encontraba el Templo Mayor de la Ciudad Azteca de Tenochtitlán para de este modo consolidar el poder español sobre el territorio recién conquistado, es un lugar seguro y cuenta con mucha vigilancia, en la entrada hay visitas guiadas bilingues o en el interior pantallas con información virtual.",,5,"Ciudad de México, México",18 de junio de 2018,jun de 2018
"""Bella catedral""","La Catedral, se encuentra en el Zócalo, en el centro histórico de la ciudad, ha sido declarada Patrimonio de la Humanidad,tiene una hermosa arquitectura, bella fallada al igual que su interior. Vale una visita, de todas maneras!!!!!",,4,"La Serena, Chile",17 de junio de 2018,ene de 2018
Hermosa Arquitectura ,Son palabras es un lugar hermoso con una arquitectura inigualable y muy bien preservada cada detalle y cada nicho tiene su magia . Excelente para ir con la 👪,,5,,16 de junio de 2018,jun de 2018
"tien una arquitectura increíble, colosal","párate en el centro de la catedral y sentirás tu pequeñez, tiene unos altorrelieves increíbles con mucha gente que hace patente su creencia, veras al pueblo en su máxima expresión de adoración religiosa  ",,5,"Cuernavaca, México",15 de junio de 2018,abr de 2018
preciosa imponente,"una catedral imponente, impecable, con mucha historia, muy bien cuidada, y conservada, hay que visitarla",,5,"Mar del Plata, Argentina",13 de junio de 2018,may de 2018
Visita obligaroria ,"Es un lugar precioso, lleno de cosas lindas es una visita obligatoria no se va llevar mucho tiempo pero es muy lindo está a la par del zócalo capitalino.",,5,"Santa Ana, Costa Rica",8 de junio de 2018,may de 2018
Execelente lugar,"Hermosa Catedral, muy bien conservada, tuve la oportunidad de escuchar una misa y realmente vale la pena",,5,"Parana, Argentina",6 de junio de 2018,jul de 2017
Magnífica,"Catedral de la ciudad de México, encuentro con la historia, 200 años para construirla, magestuosa, vale la pena conocerla y contemplar su belleza externa e interna. ",,5,,5 de junio de 2018,jun de 2018
"Grandeza, Sorpresa y Religion","Cuando entras a la Catedral te sorprende su grandeza, arquitectura y poder. Camino nando por los pasillos puedes imaginar su historia y tradicion.Es sorprendente la forma en que observas a simple vista el grado de inclinacion que tiene la Catedral, debido a sus suelo.",,5,"Morelia, México",30 de mayo de 2018,may de 2018
Para respirar historia y paz,"Hermoso lugar, hermosa manera de experimentar el pasado en paz y armonía. Hice la visita guiada, y, como el grupo era solamente de tres personas, cada quien tuvo plena libertad de movimiento, preguntar y quedarse más tiempo en el espacio de su predilección. Además se ofrecen una visita guiada nocturna y una abajo, a las criptas donde están enterrados algunos obispos, entre ellos, Zumárraga. A causa del terremoto del 19 de septiembre del año pasado (2017), se ven y sienten los desniveles en el piso de la Catedral, lo cual sin duda es impresionante.",,5,"Filadelfia, Pensilvania",29 de mayo de 2018,may de 2018
Un paseo agradable ,"Es un lugar muy bonita para  pasar  en familia o con amigos,  y poder apreciar la belleza del lugar!!!!",,3,,29 de mayo de 2018,abr de 2018
